ca_score_40,attendance_rate_percent,mock_exam_score_100,study_hours_per_week,subject_combination,gender,study_resources,behavioural_pattern,stress_level_1_10,performance_category
38,67,24,0,Commercial,Female,Tutorials,Motivated,6,Average
28,19,19,18,Commercial,Female,Textbooks,Stressed,6,Average
14,95,33,25,Commercial,Female,YouTube,Struggling,1,At Risk
7,99,25,24,Commercial,Male,Mixed,Motivated,5,Average
20,67,4,9,Commercial,Female,Textbooks,Stressed,10,Average
38,90,98,14,Science,Female,YouTube,Stressed,3,Excellent
18,63,60,21,Science,Male,Mixed,Motivated,7,Average
22,16,91,20,Commercial,Male,YouTube,Stressed,10,Good
10,11,92,21,Arts,Female,Textbooks,Struggling,3,Average
10,21,8,35,Arts,Male,YouTube,Motivated,5,At Risk
23,16,49,33,Commercial,Female,Tutorials,Stressed,7,Good
35,9,5,29,Science,Male,Mixed,Stressed,3,Average
39,64,82,24,Arts,Male,YouTube,Motivated,10,Good
23,21,59,27,Arts,Female,Textbooks,Motivated,2,Average
2,89,43,0,Arts,Male,Mixed,Motivated,6,Average
21,81,10,3,Commercial,Female,Tutorials,Motivated,8,At Risk
1,49,65,6,Arts,Male,Mixed,Struggling,4,At Risk
23,13,46,8,Arts,Male,Tutorials,Motivated,9,At Risk
29,63,72,35,Arts,Male,Mixed,Struggling,8,Good
37,46,84,18,Arts,Male,YouTube,Struggling,7,Average
1,28,87,0,Science,Male,YouTube,Motivated,7,At Risk
20,75,97,9,Commercial,Female,Textbooks,Struggling,3,Good
32,35,85,35,Commercial,Male,Tutorials,Motivated,6,Excellent
11,98,2,8,Science,Female,Textbooks,Motivated,5,At Risk
21,51,75,31,Science,Male,YouTube,Stressed,1,Excellent
24,75,91,31,Commercial,Female,Tutorials,Motivated,3,Excellent
26,6,29,5,Arts,Male,Textbooks,Stressed,1,At Risk
27,28,89,37,Arts,Female,Textbooks,Struggling,4,Average
15,10,20,16,Commercial,Female,Textbooks,Stressed,10,At Risk
14,32,27,9,Arts,Male,Textbooks,Struggling,3,At Risk
